,Year,R/O,Country,Artist,Song,Language,Points,Place,SF,SF_Order,SF_Points,SF_Place
1415,2005,,Belarus,Angelica Agurbash,Love Me Tonight,English,,,SF,8,67,13
1416,2005,,Netherlands,Glennis Grace,My Impossible Dream,English,,,SF,9,53,14
1417,2005,,Iceland,Selma,If I Had Your Love,English,,,SF,10,52,16
1418,2005,,Belgium,Nuno Resende,Le Grand soir,French,,,SF,11,29,22
1419,2005,,Estonia,Suntribe,Let's Get Loud,English,,,SF,12,31,20
1420,2005,,Finland,Geir Rönning,Why,English,,,SF,16,50,18
1421,2005,,Andorra,Marian van de Wal,La mirada interior,Catalan,,,SF,18,27,23
1422,2005,,Bulgaria,Kaffe,Lorraine,English,,,SF,21,49,19
1423,2005,,Ireland,Donna and Joe,Love?,English,,,SF,22,53,14
1424,2005,,Slovenia,Omar Naber,Stop,Slovene,,,SF,23,69,12
1425,2005,,Poland,Ivan and Delfin,Czarna dziewczyna,"Polish, Russian",,,SF,25,81,11
965,2006,1,Switzerland,six4one,If We All Give a Little,English,30,16,,,,
966,2006,2,Moldova,Arsenium feat. Natalia Gordienko and Connect-R,Loca,English,22,20,,,,
967,2006,3,Israel,Eddie Butler,Together We Are One,"Hebrew, English",4,23,,,,
968,2006,4,Latvia,Vocal Group Cosmos,I Hear Your Heart,English,30,16,,,,
969,2006,5,Norway,Christine Guldbrandsen,Alvedansen,Norwegian,36,14,,,,
970,2006,6,Spain,Las Ketchup,Bloody Mary,Spanish,18,21,,,,
971,2006,7,Malta,Fabrizio Faniello,I Do,English,1,24,,,,
972,2006,8,Germany,Texas Lightning,No No Never,English,36,14,,,,
973,2006,9,Denmark,Sidsel Ben Semmane,Twist of Love,English,26,18,,,,
974,2006,10,Russia,Dima Bilan,Never Let You Go,English,248,2,SF,13,217,3
975,2006,11,Macedonia,Elena Risteska,Ninanajna (Нинанајна),"English, Macedonian",56,12,SF,11,76,10
976,2006,12,Romania,Mihai Trăistariu,Tornerò,"English, Italian",172,4,,,,
977,2006,13,Bosnia and Herzegovina,Hari Mata Hari,Lejla,Bosnian,229,3,SF,22,267,2
978,2006,14,Lithuania,LT United,We Are the Winners,English,162,6,SF,18,163,5
979,2006,15,United Kingdom,Daz Sampson,Teenage Life,English,25,19,,,,
980,2006,16,Greece,Anna Vissi,Everything,English,128,9,,,,
981,2006,17,Finland,Lordi,Hard Rock Hallelujah,English,292,1,SF,16,292,1
982,2006,18,Ukraine,Tina Karol,Show Me Your Love,English,145,7,SF,15,146,7
983,2006,19,France,Virginie Pouchain,Il était temps,French,5,22,,,,
984,2006,20,Croatia,Severina,Moja štikla,Croatian,56,12,,,,
985,2006,21,Ireland,Brian Kennedy,Every Song Is a Cry for Love,English,93,10,SF,8,79,9
986,2006,22,Sweden,Carola,Invincible,English,170,5,SF,20,214,4
0,2006,23,Turkey,Sibel Tüzün,Süper Star,"Turkish, English",91,11,SF,14,91,8
988,2006,24,Armenia,André,Without Your Love,English,129,8,SF,1,150,6
1426,2006,,Bulgaria,Mariana Popova,Let Me Cry,English,,,SF,2,36,17
1427,2006,,Slovenia,Anžej Dežan,Mr Nobody,English,,,SF,3,49,16
1428,2006,,Andorra,Jenny,Sense tu,Catalan,,,SF,4,8,23
1429,2006,,Belarus,Polina Smolova,Mum,English,,,SF,5,10,22
1430,2006,,Albania,Luiz Ejlli,Zjarr e ftohtë,Albanian,,,SF,6,58,14
1431,2006,,Belgium,Kate Ryan,Je t'adore,English,,,SF,7,69,12
1432,2006,,Cyprus,Annet Artani,Why Angels Cry,English,,,SF,9,57,15
1433,2006,,Monaco,Séverine Ferrer,La Coco-Dance,"French, Tahitian",,,SF,10,14,21
1434,2006,,Poland,Ich Troje,Follow My Heart,"English, Polish, German, Russian",,,SF,12,70,11
1436,2006,,Netherlands,Treble,Amambanda,"English, Imaginary",,,SF,17,22,20
1437,2006,,Portugal,Nonstop,Coisas de nada,"Portuguese, English",,,SF,19,26,19
1438,2006,,Estonia,Sandra,Through My Window,English,,,SF,21,28,18
1439,2006,,Iceland,Silvía Night,Congratulations,English,,,SF,23,62,13
989,2007,1,Bosnia and Herzegovina,Marija Šestić,Rijeka bez imena (Ријека без имена),Serbian,106,11,,,,
990,2007,2,Spain,D'Nash,I Love You Mi Vida,Spanish,43,20,,,,
991,2007,3,Belarus,Koldun,Work Your Magic,English,145,6,SF,4,176,4
992,2007,4,Ireland,Dervish,They Can't Stop the Spring,English,5,24,,,,
993,2007,5,Finland,Hanna Pakarinen,Leave Me Alone,English,53,17,,,,
994,2007,6,Macedonia,Karolina,Mojot svet (Мојот свет),"Macedonian, English",73,14,SF,18,97,9
995,2007,7,Slovenia,Alenka Gotar,Cvet z juga,Slovene,66,15,SF,25,140,7
996,2007,8,Hungary,Magdi Rúzsa,Unsubstantial Blues,English,128,9,SF,22,224,2
997,2007,9,Lithuania,4Fun,Love or Leave,English,28,21,,,,
998,2007,10,Greece,Sarbel,Yassou Maria (Γεια σου Μαρία),English,139,7,,,,
999,2007,11,Georgia,Sopho,Visionary Dream,English,97,12,SF,6,123,8
1000,2007,12,Sweden,The Ark,The Worrying Kind,English,51,18,,,,
1001,2007,13,France,Les Fatals Picards,L'Amour à la française,"French, English (""Franglais"")",19,22,,,,
1002,2007,14,Latvia,Bonaparti.lv,Questa notte,Italian,54,16,SF,28,168,5
1003,2007,15,Russia,Serebro,Song #1,English,207,3,,,,
1004,2007,16,Germany,Roger Cicero,Frauen regier'n die Welt,"German, English",49,19,,,,
1005,2007,17,Serbia,Marija Šerifović,Molitva (Молитва),Serbian,268,1,SF,15,298,1
1006,2007,18,Ukraine,Verka Serduchka,Dancing Lasha Tumbai,"German, English, Surzhyk",235,2,,,,
1007,2007,19,United Kingdom,Scooch,Flying the Flag (For You),English,19,22,,,,
1008,2007,20,Romania,Todomondo,"Liubi, Liubi, I Love You (Люби, Люби, I Love You)","English, Italian, Spanish, Russian, French, Romanian",84,13,,,,
1009,2007,21,Bulgaria,Elitsa Todorova and Stoyan Yankoulov,Water,Bulgarian,157,5,SF,1,146,6
1010,2007,22,Turkey,Kenan Doğulu,Shake It Up Şekerim,English,163,4,SF,26,197,3
1011,2007,23,Armenia,Hayko,Anytime You Need,"English, Armenian",138,8,,,,
1012,2007,24,Moldova,Natalia Barbu,Fight,English,109,10,SF,9,91,10
1440,2007,,Israel,Teapacks,Push the Button,"English, French, Hebrew",,,SF,2,17,24
1441,2007,,Cyprus,Evridiki,"Comme ci, comme ça",French,,,SF,3,65,15
1442,2007,,Iceland,Eiríkur Hauksson,Valentine Lost,English,,,SF,5,77,13
1443,2007,,Montenegro,Stevan Faddy,"'Ajde, kroči ('Ајде, крочи)",Montenegrin,,,SF,7,33,22
1444,2007,,Switzerland,DJ BoBo,Vampires Are Alive,English,,,SF,8,40,20
1445,2007,,Netherlands,Edsilia Rombley,On Top of the World,English,,,SF,10,38,21
1446,2007,,Albania,Frederik Ndoci,Hear My Plea,"English, Albanian",,,SF,11,49,17
1447,2007,,Denmark,DQ,Drama Queen,English,,,SF,12,45,19
1448,2007,,Croatia,Dragonfly feat. Dado Topić,Vjerujem u ljubav,"Croatian, English",,,SF,13,54,16
1449,2007,,Poland,The Jet Set,Time to Party,English,,,SF,14,75,14
1450,2007,,Czech Republic,Kabát,Malá dáma,Czech,,,SF,16,1,28
1451,2007,,Portugal,Sabrina,Dança comigo,"Portuguese, English",,,SF,17,88,11
1452,2007,,Norway,Guri Schanke,Ven a bailar conmigo,English,,,SF,19,48,18
1453,2007,,Malta,Olivia Lewis,Vertigo,English,,,SF,20,15,25
1454,2007,,Andorra,Anonymous,Salvem el món,"Catalan, English",,,SF,21,80,12
1455,2007,,Estonia,Gerli Padar,Partners in Crime,English,,,SF,23,33,22
1456,2007,,Belgium,The KMG's,LovePower,English,,,SF,24,14,26
1457,2007,,Austria,Eric Papilaya,Get a Life – Get Alive,English,,,SF,27,4,27
1013,2008,1,Romania,Nico and Vlad,Pe-o margine de lume,"Romanian, Italian",45,20,1,17,94,7
1014,2008,2,United Kingdom,Andy Abraham,Even If,English,14,25,,,,
1015,2008,3,Albania,Olta Boka,Zemrën e lamë peng,Albanian,55,17,2,6,67,9
1016,2008,4,Germany,No Angels,Disappear,English,14,23,,,,
1017,2008,5,Armenia,Sirusho,"Qélé, Qélé (Քելե Քելե)","English, Armenian",199,4,1,14,139,2
1018,2008,6,Bosnia and Herzegovina,Laka,Pokušaj,Bosnian,110,10,1,13,72,9
1019,2008,7,Israel,Boaz,The Fire in Your Eyes,Hebrew,124,9,1,2,104,5
1020,2008,8,Finland,Teräsbetoni,Missä miehet ratsastaa,Finnish,35,22,1,16,79,8
1021,2008,9,Croatia,Kraljevi ulice and 75 Cents,Romanca,Croatian,44,21,2,11,112,4
1022,2008,10,Poland,Isis Gee,For Life,English,14,24,1,10,42,10
1023,2008,11,Iceland,Euroband,This Is My Life,English,64,14,2,1,68,8
1024,2008,12,Turkey,Mor ve Ötesi,Deli,Turkish,138,7,2,3,85,7
1025,2008,13,Portugal,Vânia Fernandes,Senhora do mar (negras águas),Portuguese,69,13,2,19,120,2
1026,2008,14,Latvia,Pirates of the Sea,Wolves of the Sea,English,83,12,2,10,86,6
1027,2008,15,Sweden,Charlotte Perrelli,Hero,English,47,18,2,2,54,12
1028,2008,16,Denmark,Simon Mathew,All Night Long,English,60,15,2,13,112,3
1029,2008,17,Georgia,Diana Gurtskaya,Peace Will Come,English,83,11,2,14,107,5
1030,2008,18,Ukraine,Ani Lorak,Shady Lady,English,230,2,2,4,152,1
1031,2008,19,France,Sébastien Tellier,Divine,English,47,19,,,,
1032,2008,20,Azerbaijan,Elnur and Samir,Day After Day,English,132,8,1,7,96,6
1033,2008,21,Greece,Kalomira,Secret Combination,English,218,3,1,19,156,1
1034,2008,22,Spain,Rodolfo Chikilicuatre,Baila el Chiki Chiki,"Spanish, English",55,16,,,,
1035,2008,23,Serbia,Jelena Tomašević feat. Bora Dugić,Oro (Оро),Serbian,160,6,,,,
1036,2008,24,Russia,Dima Bilan,Believe,English,272,1,1,18,135,3
1037,2008,25,Norway,Maria,Hold On Be Strong,English,182,5,1,9,106,4
1458,2008,,Montenegro,Stefan Filipović,Zauvijek volim te (Заувијек волим те),Montenegrin,,,1,1,23,14
1459,2008,,Estonia,Kreisiraadio,Leto svet,"Serbian, German, Finnish",,,1,3,8,18
1460,2008,,Moldova,Geta Burlacu,A Century of Love,English,,,1,4,36,12
1461,2008,,San Marino,Miodio,Complice,Italian,,,1,5,5,19
1462,2008,,Belgium,Ishtar,O Julissi,Imaginary,,,1,6,16,17
1463,2008,,Slovenia,Rebeka Dremelj,Vrag naj vzame,Slovene,,,1,8,36,11
1464,2008,,Ireland,Dustin the Turkey,Irelande Douze Pointe,English,,,1,11,22,15
1465,2008,,Andorra,Gisela,Casanova,English,,,1,12,22,16
1466,2008,,Netherlands,Hind,Your Heart Belongs to Me,English,,,1,15,27,13
1467,2008,,Lithuania,Jeronimas Milius,Nomads in the Night,English,,,2,5,30,16
1468,2008,,Switzerland,Paolo Meneguzzi,Era stupendo,Italian,,,2,7,47,13
1469,2008,,Czech Republic,Tereza Kerndlová,Have Some Fun,English,,,2,8,9,18
1470,2008,,Belarus,Ruslan Alehno,Hasta la vista,English,,,2,9,27,17
1471,2008,,Bulgaria,Deep Zone and Balthazar,"DJ, Take Me Away",English,,,2,12,56,11
1472,2008,,Hungary,Csézy,Candlelight,"English, Hungarian",,,2,15,6,19
1473,2008,,Malta,Morena,Vodka,English,,,2,16,38,14
1474,2008,,Cyprus,Evdokia Kadi,Femme Fatale,Greek,,,2,17,36,15
1475,2008,,Macedonia,"Tamara, Vrčak and Adrijan",Let Me Love You,English,,,2,18,64,10
1038,2009,1,Lithuania,Sasha Son,Love,"English, Russian",23,23,2,14,66,9
1039,2009,2,Israel,Noa and Mira Awad,There Must Be Another Way,"English, Hebrew, Arabic",53,16,1,10,75,7
1040,2009,3,France,Patricia Kaas,Et s'il fallait le faire,French,107,8,,,,
1,2009,4,Sweden,Malena Ernman,La Voix,"English, French",33,21,1,5,105,4
1042,2009,5,Croatia,Igor Cukrov feat. Andrea,Lijepa Tena,Croatian,45,18,2,1,33,13
1043,2009,6,Portugal,Flor-de-Lis,Todas as ruas do amor,Portuguese,57,15,1,16,70,8
1044,2009,7,Iceland,Yohanna,Is It True?,English,218,2,1,12,174,1
1045,2009,8,Greece,Sakis Rouvas,This Is Our Night,English,120,7,2,13,110,4
1046,2009,9,Armenia,Inga and Anush,Jan Jan (Ջան Ջան),"English, Armenian",92,10,1,6,99,5
1047,2009,10,Russia,Anastasia Prikhodko,Mamo (Мамо),"Russian, Ukrainian",91,11,,,,
1048,2009,11,Azerbaijan,AySel and Arash,Always,English,207,3,2,12,180,2
1049,2009,12,Bosnia and Herzegovina,Regina,Bistra voda,Bosnian,106,9,1,18,125,3
1050,2009,13,Moldova,Nelly Ciobanu,Hora din Moldova,"Romanian, English",69,14,2,15,106,5
1051,2009,14,Malta,Chiara,What If We,English,31,22,1,17,86,6
1052,2009,15,Estonia,Urban Symphony,Rändajad,Estonian,129,6,2,18,115,3
1053,2009,16,Denmark,Brinck,Believe Again,English,74,13,2,9,69,8
1054,2009,17,Germany,Alex Swings Oscar Sings!,Miss Kiss Kiss Bang,English,35,20,,,,
1055,2009,18,Turkey,Hadise,Düm Tek Tek,English,177,4,1,9,172,2
1056,2009,19,Albania,Kejsi Tola,Carry Me in Your Dreams,English,48,17,2,16,73,7
1057,2009,20,Norway,Alexander Rybak,Fairytale,English,387,1,2,6,201,1
1058,2009,21,Ukraine,Svetlana Loboda,Be My Valentine! (Anti-Crisis Girl),English,76,12,2,17,80,6
1059,2009,22,Romania,Elena,The Balkan Girls,English,40,19,1,14,67,9
1060,2009,23,United Kingdom,Jade Ewen,It's My Time,English,173,5,,,,
1061,2009,24,Finland,Waldo's People,Lose Control,English,22,25,1,15,42,12
1062,2009,25,Spain,Soraya Arnelas,La noche es para mí,"Spanish, English",23,24,,,,
1476,2009,,Montenegro,Andrea Demirović,Just Get Out of My Life,English,,,1,1,44,11
1477,2009,,Czech Republic,Gipsy.cz,Aven Romale,"English, Romani",,,1,2,0,18
1478,2009,,Belgium,Copycat,Copycat,English,,,1,3,1,17
1479,2009,,Belarus,Petr Elfimov,Eyes That Never Lie,English,,,1,4,25,13
1481,2009,,Andorra,Susanne Georgi,La teva decisió (Get a Life),"Catalan, English",,,1,7,8,15
1482,2009,,Switzerland,Lovebugs,The Highest Heights,English,,,1,8,15,14
1483,2009,,Bulgaria,Krassimir Avramov,Illusion,English,,,1,11,7,16
1484,2009,,Macedonia,Next Time,Nešto što kje ostane (Нешто што ќе остане),Macedonian,,,1,13,45,10
1485,2009,,Ireland,Sinéad Mulvey and Black Daisy,Et Cetera,English,,,2,2,52,11
1486,2009,,Latvia,Intars Busulis,Probka (Пробка),Russian,,,2,3,7,19
1487,2009,,Serbia,Marko Kon and Milaan,Cipela (Ципела),Serbian,,,2,4,60,10
1488,2009,,Poland,Lidia Kopania,I Don't Wanna Leave,English,,,2,5,43,12
1489,2009,,Cyprus,Christina Metaxa,Firefly,English,,,2,7,32,14
1490,2009,,Slovakia,Kamil Mikulčík and Nela Pocisková,Leť tmou,Slovak,,,2,8,8,18
1491,2009,,Slovenia,Quartissimo feat. Martina,Love Symphony,"English, Slovene",,,2,10,14,16
1492,2009,,Hungary,Zoli Ádok,Dance with Me,English,,,2,11,16,15
1493,2009,,Netherlands,The Toppers,Shine,English,,,2,19,11,17
1063,2010,1,Azerbaijan,Safura,Drip Drop,English,145,5,2,7,113,2
1064,2010,2,Spain,Daniel Diges,Algo pequeñito,Spanish,68,15,,,,
1065,2010,3,Norway,Didrik Solli-Tangen,My Heart Is Yours,English,35,20,,,,
1066,2010,4,Moldova,SunStroke Project and Olia Tira,Run Away,English,27,22,1,1,52,10
1067,2010,5,Cyprus,Jon Lilygreen and the Islanders,Life Looks Better in Spring,English,27,21,2,14,67,10
1068,2010,6,Bosnia and Herzegovina,Vukašin Brajić,Thunder and Lightning,English,51,17,1,8,59,8
1069,2010,7,Belgium,Tom Dice,Me and My Guitar,English,143,6,1,10,167,1
1070,2010,8,Serbia,Milan Stanković,Ovo je Balkan (Oво je Балкан),Serbian,72,13,1,7,79,5
1071,2010,9,Belarus,3+2 feat. Robert Wells,Butterflies,English,18,24,1,16,59,9
1072,2010,10,Ireland,Niamh Kavanagh,It's for You,English,25,23,2,12,67,9
1073,2010,11,Greece,Giorgos Alkaios and Friends,Opa (Ώπα),Greek,140,8,1,13,133,2
1074,2010,12,United Kingdom,Josh Dubovie,That Sounds Good to Me,English,10,25,,,,
1075,2010,13,Georgia,Sofia Nizharadze,Shine,English,136,9,2,16,106,3
1076,2010,14,Turkey,Manga,We Could Be the Same,English,170,2,2,17,118,1
1077,2010,15,Albania,Juliana Pasha,It's All About You,English,62,16,1,12,76,6
1078,2010,16,Iceland,Hera Björk,Je ne sais quoi,English,41,19,1,17,123,3
1079,2010,17,Ukraine,Alyosha,Sweet People,English,108,10,2,8,77,7
1080,2010,18,France,Jessy Matador,Allez Ola Olé,French,82,12,,,,
1081,2010,19,Romania,Paula Seling and Ovi,Playing with Fire,English,162,3,2,10,104,4
1082,2010,20,Russia,Peter Nalitch and Friends,Lost and Forgotten,English,90,11,1,2,74,7
1083,2010,21,Armenia,Eva Rivas,Apricot Stone,English,141,7,2,2,83,6
1084,2010,22,Germany,Lena,Satellite,English,246,1,,,,
1085,2010,23,Portugal,Filipa Azevedo,Há dias assim,Portuguese,43,18,1,14,89,4
1086,2010,24,Israel,Harel Skaat,Milim (מילים),Hebrew,71,14,2,3,71,8
1087,2010,25,Denmark,Chanée and N'evergreen,In a Moment like This,English,149,4,2,4,101,5
1494,2010,,Estonia,Malcolm Lincoln,Siren,English,,,1,3,39,14
1495,2010,,Slovakia,Kristína,Horehronie,Slovak,,,1,4,24,16
1496,2010,,Finland,Kuunkuiskaajat,Työlki ellää,Finnish,,,1,5,49,11
1497,2010,,Latvia,Aisha,What For?,English,,,1,6,11,17
1498,2010,,Poland,Marcin Mroziński,Legenda,"English, Polish",,,1,9,44,13
1499,2010,,Malta,Thea Garrett,My Dream,English,,,1,11,45,12
1500,2010,,Macedonia,Gjoko Taneski,Jas ja imam silata (Јас ја имам силата),Macedonian,,,1,15,37,15
1501,2010,,Lithuania,InCulto,Eastern European Funk,English,,,2,1,44,12
1502,2010,,Switzerland,Michael von der Heide,Il pleut de l'or,French,,,2,5,2,17
1503,2010,,Sweden,Anna Bergendahl,This Is My Life,English,,,2,6,62,11
1504,2010,,Netherlands,Sieneke,Ik ben verliefd (Sha-la-lie),Dutch,,,2,9,29,14
1505,2010,,Slovenia,Ansambel Žlindra and Kalamari,Narodnozabavni rock,Slovene,,,2,11,6,16
1506,2010,,Bulgaria,Miro,Angel si ti (Ангел си ти),"Bulgarian, English",,,2,13,19,15
1507,2010,,Croatia,Feminnem,Lako je sve,Croatian,,,2,15,33,13
1088,2011,1,Finland,Paradise Oskar,Da Da Dam,English,57,21,1,10,103,3
1089,2011,2,Bosnia and Herzegovina,Dino Merlin,Love in Rewind,English,125,6,2,1,109,5
1090,2011,3,Denmark,A Friend in London,New Tomorrow,English,134,5,2,18,135,2
1091,2011,4,Lithuania,Evelina Sašenko,C'est ma vie,English,63,19,1,17,81,5
1092,2011,5,Hungary,Kati Wolf,What About My Dreams?,"English, Hungarian",53,22,1,15,72,7
1093,2011,6,Ireland,Jedward,Lipstick,English,119,8,2,19,68,8
1094,2011,7,Sweden,Eric Saade,Popular,English,185,3,2,8,155,1
1095,2011,8,Estonia,Getter Jaani,Rockefeller Street,English,44,24,2,15,60,9
1096,2011,9,Greece,Loukas Yorkas feat. Stereo Mike,Watch My Dance,"English, Greek",120,7,1,19,133,1
1097,2011,10,Russia,Alexey Vorobyov,Get You,"English, Russian",77,16,1,7,64,9
1098,2011,11,France,Amaury Vassili,Sognu,Corsican,82,15,,,,
1099,2011,12,Italy,Raphael Gualazzi,Madness of Love,"Italian, English",189,2,,,,
1100,2011,13,Switzerland,Anna Rossinelli,In Love for a While,English,19,25,1,8,55,10
1101,2011,14,United Kingdom,Blue,I Can,English,100,11,,,,
1102,2011,15,Moldova,Zdob și Zdub,So Lucky,English,97,12,2,7,54,10
1103,2011,16,Germany,Lena,Taken by a Stranger,English,107,10,,,,
1104,2011,17,Romania,Hotel FM,Change,English,77,17,2,14,111,4
1105,2011,18,Austria,Nadine Beiler,The Secret Is Love,English,64,18,2,2,69,7
1106,2011,19,Azerbaijan,Ell and Nikki,Running Scared,English,221,1,1,18,122,2
1107,2011,20,Slovenia,Maja Keuc,No One,English,96,13,2,13,112,3
1108,2011,21,Iceland,Sjonni's Friends,Coming Home,English,61,20,1,14,100,4
1109,2011,22,Spain,Lucía Pérez,Que me quiten lo bailao,Spanish,50,23,,,,
1110,2011,23,Ukraine,Mika Newton,Angel,English,159,4,2,6,81,6
1111,2011,24,Serbia,Nina,Čaroban (Чаробан),Serbian,85,14,1,6,67,8
1112,2011,25,Georgia,Eldrine,One More Day,English,110,9,1,9,74,6
1508,2011,,Poland,Magdalena Tul,Jestem,Polish,,,1,1,18,19
1509,2011,,Norway,Stella Mwangi,Haba Haba,"English, Swahili",,,1,2,30,17
1510,2011,,Albania,Aurela Gaçe,Feel the Passion,English,,,1,3,47,14
1511,2011,,Armenia,Emmy,Boom Boom,English,,,1,4,54,12
1512,2011,,Turkey,Yüksek Sadakat,Live It Up,English,,,1,5,47,13
1513,2011,,Malta,Glen Vella,One Life,English,,,1,11,54,11
1514,2011,,San Marino,Senit,Stand By,English,,,1,12,34,16
1515,2011,,Croatia,Daria,Celebrate,English,,,1,13,41,15
1516,2011,,Portugal,Homens da Luta,A luta é alegria,Portuguese,,,1,16,22,18
1517,2011,,Netherlands,3JS,Never Alone,English,,,2,3,13,19
1518,2011,,Belgium,Witloof Bay,With Love Baby,English,,,2,4,53,11
1519,2011,,Slovakia,Twiins,I'm Still Alive,English,,,2,5,48,13
1520,2011,,Cyprus,Christos Mylordos,San aggelos s'agapisa (Σαν άγγελος σ'αγάπησα),Greek,,,2,9,16,18
1521,2011,,Bulgaria,Poli Genova,Na inat (На инат),Bulgarian,,,2,10,48,12
1522,2011,,Macedonia,Vlatko Ilievski,Rusinka (Русинка),"Macedonian, English",,,2,11,36,16
1523,2011,,Israel,Dana International,Ding Dong,"Hebrew, English",,,2,12,38,15
1524,2011,,Belarus,Anastasia Vinnikova,I Love Belarus,English,,,2,16,45,14
1525,2011,,Latvia,Musiqq,Angel in Disguise,English,,,2,17,25,17
1113,2012,1,United Kingdom,Engelbert Humperdinck,Love Will Set You Free,English,12,25,,,,
1114,2012,2,Hungary,Compact Disco,Sound of Our Hearts,English,19,24,1,15,52,10
1115,2012,3,Albania,Rona Nishliu,Suus,Albanian,146,5,1,5,146,2
1116,2012,4,Lithuania,Donny Montell,Love Is Blind,English,70,14,2,18,104,3
1117,2012,5,Bosnia and Herzegovina,Maya Sar,Korake ti znam,Bosnian,55,18,2,17,77,6
1118,2012,6,Russia,Buranovskiye Babushki,Party for Everybody,"Udmurt, English",259,2,1,14,152,1
1119,2012,7,Iceland,Greta Salóme and Jónsi,Never Forget,English,46,20,1,2,75,8
1120,2012,8,Cyprus,Ivi Adamou,La La Love,English,65,16,1,12,91,7
1121,2012,9,France,Anggun,Echo (You and I),"French, English",21,22,,,,
1122,2012,10,Italy,Nina Zilli,L'amore è femmina (Out of Love),"English, Italian",101,9,,,,
1123,2012,11,Estonia,Ott Lepland,Kuula,Estonian,120,6,2,14,100,4
1124,2012,12,Norway,Tooji,Stay,English,7,26,2,16,45,10
1125,2012,13,Azerbaijan,Sabina Babayeva,When the Music Dies,English,150,4,,,,
1126,2012,14,Romania,Mandinga,Zaleilah,"Spanish, English",71,12,1,6,120,3
1127,2012,15,Denmark,Soluna Samay,Should've Known Better,English,21,23,1,13,63,9
1128,2012,16,Greece,Eleftheria Eleftheriou,Aphrodisiac,English,64,17,1,3,116,4
1129,2012,17,Sweden,Loreen,Euphoria,English,372,1,2,11,181,1
1130,2012,18,Turkey,Can Bonomo,Love Me Back,English,112,7,2,13,80,5
1131,2012,19,Spain,Pastora Soler,Quédate conmigo,Spanish,97,10,,,,
1132,2012,20,Germany,Roman Lob,Standing Still,English,110,8,,,,
1133,2012,21,Malta,Kurt Calleja,This Is the Night,English,41,21,2,4,70,7
1134,2012,22,Macedonia,Kaliopi,Crno i belo (Црно и бело),Macedonian,71,13,2,2,53,9
1135,2012,23,Ireland,Jedward,Waterline,English,46,19,1,18,92,6
1136,2012,24,Serbia,Željko Joksimović,Nije ljubav stvar (Није љубав ствар),Serbian,214,3,2,1,159,2
1137,2012,25,Ukraine,Gaitana,Be My Guest,English,65,15,2,7,64,8
1138,2012,26,Moldova,Pasha Parfeny,Lăutar,English,81,11,1,17,100,5
1526,2012,,Montenegro,Rambo Amadeus,Euro Neuro,English,,,1,1,20,15
1527,2012,,Latvia,Anmary,Beautiful Song,English,,,1,4,17,16
1528,2012,,Switzerland,Sinplus,Unbreakable,English,,,1,7,45,11
1529,2012,,Belgium,Iris,Would You?,English,,,1,8,16,17
1530,2012,,Finland,Pernilla,När jag blundar,Swedish,,,1,9,41,12
1531,2012,,Israel,Izabo,Time,"English, Hebrew",,,1,10,33,13
1532,2012,,San Marino,Valentina Monetta,The Social Network Song (Oh Oh – Uh - Oh Oh),English,,,1,11,31,14
1533,2012,,Austria,Trackshittaz,Woki mit deim Popo,German,,,1,16,8,18
1534,2012,,Netherlands,Joan Franka,You and Me,English,,,2,3,35,15
1535,2012,,Belarus,Litesound,We Are the Heroes,English,,,2,5,35,16
1536,2012,,Portugal,Filipa Sousa,Vida minha,Portuguese,,,2,6,39,13
1537,2012,,Bulgaria,Sofi Marinova,Love Unlimited,Bulgarian,,,2,8,45,11
1538,2012,,Slovenia,Eva Boto,Verjamem,Slovene,,,2,9,31,17
1539,2012,,Croatia,Nina Badrić,Nebo,Croatian,,,2,10,42,12
1540,2012,,Georgia,Anri Jokhadze,I'm a Joker,"English, Georgian",,,2,12,36,14
1541,2012,,Slovakia,Max Jason Mai,Don't Close Your Eyes,English,,,2,15,22,18
1139,2013,1,France,Amandine Bourgeois,L'Enfer et moi,French,14,23,,,,
1140,2013,2,Lithuania,Andrius Pojavis,Something,English,17,22,1,10,53,9
1141,2013,3,Moldova,Aliona Moon,O mie,Romanian,71,11,1,12,95,4
1142,2013,4,Finland,Krista Siegfrids,Marry Me,English,13,24,2,5,64,9
1143,2013,5,Spain,ESDM,Contigo hasta el final,Spanish,8,25,,,,
1144,2013,6,Belgium,Roberto Bellarosa,Love Kills,English,71,12,1,15,75,5
1145,2013,7,Estonia,Birgit,Et uus saaks alguse,Estonian,19,20,1,2,52,10
1146,2013,8,Belarus,Alyona Lanskaya,Solayoh,English,48,16,1,11,64,7
1147,2013,9,Malta,Gianluca,Tomorrow,English,120,8,2,6,118,4
1148,2013,10,Russia,Dina Garipova,What If,English,174,5,1,6,156,2
1149,2013,11,Germany,Cascada,Glorious,English,18,21,,,,
1150,2013,12,Armenia,Dorians,Lonely Planet,English,41,18,2,11,69,7
1151,2013,13,Netherlands,Anouk,Birds,English,114,9,1,8,75,6
1152,2013,14,Romania,Cezar,It's My Life,English,65,13,2,17,83,5
1153,2013,15,United Kingdom,Bonnie Tyler,Believe in Me,English,23,19,,,,
1154,2013,16,Sweden,Robin Stjernberg,You,English,62,14,,,,
1155,2013,17,Hungary,ByeAlex,Kedvesem (Zoohacker Remix),Hungarian,84,10,2,12,66,8
1156,2013,18,Denmark,Emmelie de Forest,Only Teardrops,English,281,1,1,5,167,1
